Location    Name
----------  ----------------------------------------------------------------------------------
eastus2     128technology
eastus2     1e
eastus2     2021ai
eastus2     3cx-pbx
eastus2     4psa
eastus2     5nine-software-inc
eastus2     7isolutions
eastus2     a10networks
eastus2     abiquo
eastus2     accedian
eastus2     accelario1579101623356
eastus2     accellion
eastus2     accessdata-group
eastus2     accops
eastus2     Acronis
eastus2     Acronis.Backup
eastus2     actian-corp
eastus2     actian_matrix
eastus2     actifio
eastus2     activeeon
eastus2     adastracorporation-4028356
eastus2     adgs
eastus2     advantech
eastus2     advantech-webaccess
eastus2     advantys
eastus2     aelf
eastus2     aerospike
eastus2     affinio
eastus2     aggregion-ltd
eastus2     airalabrus
eastus2     aiscaler-cache-control-ddos-and-url-rewriting-
eastus2     akamai-technologies
eastus2     akumina
eastus2     akumo-software
eastus2     alachisoft
eastus2     alertlogic
eastus2     AlertLogic.Extension
eastus2     alienvault
eastus2     alldigital-brevity
eastus2     altair-engineering-inc
eastus2     altamira-corporation
eastus2     alteryx
eastus2     altova
eastus2     antmedia
eastus2     aod
eastus2     apigee
eastus2     appcara
eastus2     appcelerator
eastus2     appex-networks
eastus2     appistry
eastus2     appiyo_technologies
eastus2     appmint_inc
eastus2     apps-4-rent
eastus2     appscale-marketplace
eastus2     aquaforest
eastus2     arabesque-group
eastus2     arangodb
eastus2     aras
eastus2     arcblock
eastus2     arcesb
eastus2     arcserveusallc-marketing
eastus2     arista-networks
eastus2     ariwontollc
eastus2     array_networks
eastus2     artificial-intelligence-techniques-sl
eastus2     arubanetworks-4922182
eastus2     asigra
eastus2     astadia-1148316
eastus2     asyscosoftwarebv
eastus2     ataccama
eastus2     atlgaming
eastus2     atmosera
eastus2     atomicorp
eastus2     attunity_cloudbeam
eastus2     audiocodes
eastus2     auraportal
eastus2     auriq-systems
eastus2     automationanywhere
eastus2     avanseus
eastus2     avepoint
eastus2     aveva1
eastus2     avi-networks
eastus2     aviatrix-systems
eastus2     awingu
eastus2     axsguardablenv
eastus2     axway
eastus2     axxana
eastus2     azul
eastus2     azurecyclecloud
eastus2     AzureDatabricks
eastus2     azureopenshift
eastus2     AzureRT.Test
eastus2     azuretesting
eastus2     azuretesting2
eastus2     azuretesting3
eastus2     AzureTools1type
eastus2     baas-techbureau
eastus2     baffle-io
eastus2     balabit
eastus2     barracudanetworks
eastus2     basho
eastus2     batch
eastus2     bayware
eastus2     bdy
eastus2     betsol
eastus2     beyondtrust
eastus2     bi-builders-as
eastus2     Bitnami
eastus2     bizagi
eastus2     biztalk360
eastus2     black-duck-software
eastus2     blackbird
eastus2     blk-technologies
eastus2     blockapps
eastus2     blockchain-foundry
eastus2     blockstack
eastus2     bloombase
eastus2     bluecat
eastus2     blueprismlimited-4827145
eastus2     bluetalon
eastus2     bmc.ctm
eastus2     bmcctm.test
eastus2     boardpacpvtltd
eastus2     bocada
eastus2     botanalytics
eastus2     bravura-software-llc
eastus2     bright-computing
eastus2     brightcomputing
eastus2     brocade_communications
eastus2     bssw
eastus2     bt-americas-inc
eastus2     buddhalabs
eastus2     Canonical
eastus2     carto
eastus2     cask
eastus2     catechnologies
eastus2     cautelalabs
eastus2     cavirin
eastus2     cayosoftinc
eastus2     cds
eastus2     celum-gmbh
eastus2     center-for-internet-security-inc
eastus2     centeritysystems
eastus2     certivox
eastus2     cfd-direct
eastus2     chain
eastus2     checkpoint
eastus2     chef-software
eastus2     Chef.Bootstrap.WindowsAzure
eastus2     cinchy
eastus2     cinegy-gmbh
eastus2     circleci
eastus2     cires21
eastus2     cirruswaveinc1579234787943
eastus2     cisco
eastus2     citrix
eastus2     clear-linux-project
eastus2     clone-systems
eastus2     clouber
eastus2     cloud-checkr
eastus2     cloud-cruiser
eastus2     cloud-infrastructure-services
eastus2     cloudbees
eastus2     cloudbees-enterprise-jenkins
eastus2     cloudbolt-software
eastus2     cloudboost
eastus2     cloudcover
eastus2     cloudenablers-inc
eastus2     cloudera
eastus2     cloudflare
eastus2     cloudhouse
eastus2     cloudlanes
eastus2     cloudlink
eastus2     CloudLink.SecureVM.Test
eastus2     CloudLinkEMC.SecureVM
eastus2     cloudplan-gmbh
eastus2     cloudsecurity
eastus2     cloudsoft
eastus2     cloudwhizsolutions
eastus2     clustrix
eastus2     cncf-upstream
eastus2     codelathe
eastus2     codenvy
eastus2     cognitive-scale
eastus2     cognizant
eastus2     cognosys
eastus2     cohesity
eastus2     cohesive
eastus2     collabcloudlimited
eastus2     commvault
eastus2     compellon
eastus2     composable
eastus2     comunity
eastus2     Confer
eastus2     confluentinc
eastus2     conflux
eastus2     connecting-software
eastus2     consensys
eastus2     containeraider
eastus2     contiamogmbh
eastus2     controlcase
eastus2     convertigo
eastus2     corda
eastus2     corent-technology-pvt
eastus2     CoreOS
eastus2     couchbase
eastus2     credativ
eastus2     cryptzone
eastus2     ctm.bmc.com
eastus2     cubebackup
eastus2     cybernetica-as
eastus2     cyxtera
eastus2     d4t4_solutions-1164305
eastus2     danielsol.AzureTools1
eastus2     Dans.Windows.App
eastus2     Dans3.Windows.App
eastus2     dataart
eastus2     databricks
eastus2     datacore
eastus2     Datadog.Agent
eastus2     dataiku
eastus2     datalayer
eastus2     datanova
eastus2     datapredsa
